date,state_territory,state,population_estimate,positive_increase,total_tests_viral,positive_cases_viral,total_test_encounters_viral,rate_of_new_cases,rate_of_pcr_tests,percent_positivity,new_case_moving_ave,pcr_test_moving_ave,percent_positivity_moving_ave
2020-08-31,Colorado,CO,5695564,182,NA,53394,1002802,3.195469316120405,17606.719896396564,0.05324480804784992,NA,NA,NA
2020-08-30,Colorado,CO,5695564,268,NA,53209,994951,4.7054163556058715,17468.875777710513,0.05347901554950947,NA,NA,NA
2020-08-29,Colorado,CO,5695564,430,NA,52958,985622,7.549735197427331,17305.08163897377,0.05373053767062829,NA,NA,NA
2020-08-28,Colorado,CO,5695564,350,NA,52562,972990,6.145133300231549,17083.294999406557,0.0540211101861273,5.217092761012907,17112.076797210702,0.05375841312139414
2020-08-27,Colorado,CO,5695564,193,NA,52229,962754,3.3886020769848253,16903.576186660353,0.05424957985113539,5.412733739550892,16951.034173261858,0.05380980236135929
2020-08-26,Colorado,CO,5695564,459,NA,52074,955641,8.058903385160802,16778.689520475935,0.054491173986884196,5.485472052084243,16788.50417623259,0.05389725146777149
2020-08-25,Colorado,CO,5695564,198,NA,50313,947645,3.4763896955595617,16638.299560851217,0.05309266655762443,5.299863944240515,16621.21609027657,0.05404316900636394
2020-08-24,Colorado,CO,5695564,260,NA,50313,938596,4.564956165886294,16479.421528754658,0.053604532727605916,5.247191373095674,16454.92878317231,0.05425310579895757
2020-08-23,Colorado,CO,5695564,297,NA,50313,930152,5.214584543339343,16331.165798505644,0.0540911592943949,5.440324133960094,16285.506203976087,0.05453211491084927
2020-08-22,Colorado,CO,5695564,356,NA,50313,918926,6.250478442521232,16134.065037281645,0.054751960440775425,4.943697034594442,16115.494193626579,0.0548007419845463
2020-08-21,Colorado,CO,5695564,329,NA,50313,906693,5.776425302217656,15919.283849676696,0.05549066773428272,4.933664163900187,15948.966097625651,0.05528916744720954
2020-08-20,Colorado,CO,5695564,270,NA,50313,895207,4.740531403035766,15717.618132286812,0.0562026436343773,5.129305142438171,15784.564970211904,0.05574921406167355
2020-08-19,Colorado,CO,5695564,261,NA,50050,887859,4.582513689601241,15588.605448029377,0.056371563502763386,5.136829795458863,15607.941298074882,0.05621015252057773
2020-08-18,Colorado,CO,5695564,194,NA,49801,881252,3.4061596006997727,15472.602888844722,0.05651164479626713,5.0440257415369985,15432.037484410173,0.056632904731093316
2020-08-17,Colorado,CO,5695564,338,NA,49611,873051,5.934443015652181,15328.61363685844,0.05682485902885399,5.38012690979456,15257.959653211818,0.05701086198651811
2020-08-16,Colorado,CO,5695564,300,NA,49278,859734,5.267257114484185,15094.800093546488,0.057317728506724175,5.492996705104936,15082.020724499678,0.057338341174702656
2020-08-15,Colorado,CO,5695564,319,NA,48985,848795,5.600850065068183,14902.738341628678,0.05771122591438451,5.846655397077446,14905.349396226859,0.05767540152479358
2020-08-14,Colorado,CO,5695564,463,NA,48677,837290,8.129133480020592,14700.739031288209,0.05813636852225633,6.310675666686767,14727.326138627986,0.05800350321942953
2020-08-13,Colorado,CO,5695564,315,NA,48262,825062,5.530619970208394,14486.045631301833,0.058494997951669084,6.3056592313396385,14548.460119890799,0.05832571252179167
2020-08-12,Colorado,CO,5695564,402,NA,48008,817422,7.058124533408807,14351.906150119637,0.05873098595339984,6.634235746576509,14376.115467104875,0.05864057025577451
